TRACK,POSTED,LIKES,REPOSTS,PLAYS,COMMENTS
Exclusive Podcast #139 | with GRIMLOCK (Tamil Records),2 years ago,192,15,"3,362",14
Exclusive Podcast #138 | with NAYAJAYAN,2 years ago,147,22,"2,677",15
Exclusive Podcast #137 | with PHASE 1 (Patronus Records),2 years ago,197,25,"2,881",8
,,,,,
Exclusive Podcast #136 | with PSYTOHIGH (Noisepoison Records),2 years ago,265,30,"3,834",11
Exclusive Podcast #135 | with FUTUREMOON (Digital Om Productions),2 years ago,211,29,"3,877",22
Exclusive Podcast #134 | with PSYTRONIC (PsyWorld Records),2 years ago,102,17,"1,537",9
Exclusive Podcast #133 | with KOAN (Somos/Trader Crew),2 years ago,155,18,"2,366",5
,,,,,
Exclusive Podcast #132 | with BORDERLINERS (Digital Shamans Records),2 years ago,390,60,"5,480",27
Exclusive Podcast #131 | with DHELIOS (Ancient Druids Records),2 years ago,257,19,"3,396",15
Exclusive Podcast #130 | with THELIOS (Forestdelic Records),2 years ago,555,54,"7,898",21
Exclusive Podcast #129 | with REACTYV (Protoned Music),2 years ago,253,31,"3,292",15
,,,,,
Exclusive Podcast #128 | with OLLIE,2 years ago,304,29,"4,633",21
Exclusive Podcast #127 | with MALASKRA (Parivara Records),2 years ago,108,16,"1,827",6
Exclusive Podcast #126 | with WIZATEC (Rudra Mantra Records/Hypnotic Records India),2 years ago,242,37,"3,140",18
Exclusive Podcast #125 | with EXXOGENESIS (Connect Music),2 years ago,104,17,"1,413",8
,,,,,
Exclusive Podcast #124 | with ANCIENT VISION (Psynopticz Records),2 years ago,470,68,"6,290",130
Exclusive Podcast #123 | with CHIMERICAL (Rudra Mantra Records),2 years ago,291,42,"3,806",37
Exclusive Podcast #122 | with MINDVOICE,2 years ago,205,31,"3,665",32
Exclusive Podcast #121 | with ROCKYYELLOWSNAKE (Aryavarta Records),2 years ago,179,10,"1,735",5
,,,,,
Exclusive Podcast #120 | with POO-CHII (Looney Moon Records),2 years ago,388,41,"5,307",20
Exclusive Podcast #119 | with CORRUPT ILLUSIONIST (Karmatec Records),2 years ago,"1,128",64,20K,104
Exclusive Podcast #118 | with AKATOSH (Patronus Records),2 years ago,413,47,"5,225",17
Exclusive Podcast #117 | with SNAILOGIC (Turiya Records),2 years ago,172,26,"2,395",7
,,,,,
Exclusive Podcast #116 | with CLOVIZ (Wirikuta Recordings SLP),2 years ago,203,24,"3,215",17
Exclusive Podcast #115 | with INDIAN TRIBE (Digital Frequenz Records),2 years ago,164,21,"2,708",6
Exclusive Podcast #114 | with SURREAL HAPPYNESS ( World People Productions),2 years ago,294,34,"4,131",9
Exclusive Podcast #113 | with YONDO&LORCA (Hunab Ku Records),2 years ago,215,27,"3,558",20
,,,,,
Exclusive Podcast #112 | with TUNDRA (Patronus Records),2 years ago,303,44,"4,102",10
Exclusive Podcast #111 | with COSMIC PLAYGROUND (Hekwapi Records),2 years ago,524,55,"9,000",24
Exclusive Podcast #110 | with OCTOGOAT (Reversible Records),2 years ago,576,51,"9,467",29
Exclusive Podcast #109 | with SYNESTIA (Maleficarum),2 years ago,140,21,"2,344",11
,,,,,
Exclusive Podcast #108 | with LOOM (Forestdelic Records),2 years ago,591,52,"8,888",25
Exclusive Podcast #107 | with GREMLINS (Hypnotica Records),2 years ago,277,35,"5,038",36
Exclusive Podcast #106 | with PING-PONG BROTHERS (Rudra Mantra Records),2 years ago,346,48,"5,102",22
Exclusive Podcast #105 | with SILOKA (Sahman Records),2 years ago,810,85,13.8K,40
,,,,,
Exclusive Podcast #104 | with BARKET (Adn Music),2 years ago,441,50,"7,487",28
Exclusive Podcast #103 | with DJ RECIOUS (Soundwave Records),2 years ago,145,19,"2,642",12
Exclusive Podcast #102 | with ECLEPTIX (Warromaja Records),2 years ago,167,17,"2,928",26
Exclusive Podcast #101 | with WISEFOX (Karmatec Records),2 years ago,282,33,"4,655",14
,,,,,
Exclusive Podcast #100 | with INPSYDE OUT (Digital Shamans Records),2 years ago,541,44,"9,520",64
Exclusive Podcast #099 | with APOCALYPSE TV (Pixan Recordings),2 years ago,268,29,"3,769",25
Exclusive Podcast #098 | with NEUROLOGY (Psynopticz Records),2 years ago,549,66,"8,464",58
Exclusive Podcast #097 | with ARMYNOISE (Aryavarta Records),2 years ago,145,18,"2,699",4
,,,,,
Exclusive Podcast #096 | with JIMI GREEN (Looneymoon Records),2 years ago,562,64,"8,494",28
Exclusive Podcast #095 | with ZIGOOR (Pixan Recordings),3 years ago,907,92,16.6K,61
Exclusive Podcast #094 | with UNLIMITED (Paranormal Records),3 years ago,364,48,"5,959",29
Exclusive Podcast #093 | with PSYNAPSIS (Wirikuta Recordings),3 years ago,149,20,"2,145",7
,,,,,
Exclusive Podcast #092 | with PHUNKJUNK (Ancient Druids Rec.),3 years ago,227,32,"3,380",11
Exclusive Podcast #091 | with CHAKRAVIEW (Karmatec Records),3 years ago,689,83,21.2K,41
Exclusive Podcast #090 | with KABAYUN (Sangoma Records),3 years ago,781,90,11.4K,38
Exclusive Podcast #089 | with MUTALIENS (Looney Moon Records),3 years ago,676,85,10.4K,42
,,,,,
Exclusive Podcast #088 | with ŌXYMORE,3 years ago,303,28,"4,546",17
Exclusive Podcast #087 | with VIBRATECH (Root Sector Records),3 years ago,290,47,"4,295",17
Exclusive Podcast #086 | with POSTRAUMA (Egohunter Rec.),3 years ago,693,60,11.1K,34
Exclusive Podcast #085 | with RAFYX (Reversible Records),3 years ago,545,64,"9,649",36
,,,,,
Exclusive Podcast #084 |with PROFESSOR JAS (Pixan Recordings),3 years ago,295,39,"3,926",16
Exclusive Podcast #083 | with ASTRONOM (Maykurnaddur Records/Squarelab Music),3 years ago,402,56,"6,406",13
Exclusive Podcast #082 | with ERITAS & TERRAπ (Root Sector Records),3 years ago,731,85,11.4K,44
Exclusive Podcast #081 | with JUGGERKNOT (Looney Moon Records),3 years ago,663,114,16.6K,42
,,,,,
Exclusive Podcast #080 | with NOETHER (SquareLab Music),3 years ago,628,63,"9,809",31
The Jhila- Lightbringer 190 bpm,3 years ago,88,8,"1,541",
Yatzee - Awakening 181 bpm,3 years ago,178,16,"3,128",3
Quantiko-rasengan 180 bpm,3 years ago,109,6,"1,991",3
,,,,,
Arkasha-touch the universe 195 bpm,3 years ago,98,6,"1,981",4
Virtuanoise-Garage46 175 bpm,3 years ago,68,4,"1,416",3
Fele-Adaptive grid 192 bpm,3 years ago,80,6,"1,572",2
Jonny Crash Roots Of Melancholy 186 bpm,3 years ago,63,2,"1,490",4
,,,,,
Popek-Force without Pitty 180 bpm,3 years ago,92,3,"2,055",1
Overdose VA Compilation,3 years ago,,,,
Exclusive Podcast #079 | with STALAGMIT (Maleficarum),3 years ago,400,31,"6,663",16
Exclusive Podcast #078  |with YATZEE (Noise Poison Records/Freak Records),3 years ago,"1,496",113,24.4K,67
,,,,,
Exclusive Podcast #077 | with THEJHILA (Hyprid Records/Damaru Records),3 years ago,634,58,"9,256",24
Exclusive Podcast #076 | with LABRAT,3 years ago,854,94,13.5K,64
Exclusive Podcast #075 | with ALIEN INSTINCT (Hekwapi Records),3 years ago,928,110,13.5K,64
Exclusive Podcast #074 | with SHRED´ER (Looney Moon Records),3 years ago,706,95,"9,704",44
,,,,,
Exclusive Podcast #073 | with DUKE & GONZO (Maharetta Records),3 years ago,391,61,"5,200",16
Exclusive Podcast #072 | with HYPER VIBRATION ( Paranormal Records),3 years ago,429,53,"5,982",35
Exclusive Podcast #071 | with FEELIONICS (GoaProductions),3 years ago,191,26,"2,736",19
Exclusive Podcast #070 | with OXYACA (World People Productions),3 years ago,376,49,"4,540",23
,,,,,
Exclusive Podcast #069 | with DNAprocess (Divine Magic Theory),3 years ago,422,51,"5,629",11
Exclusive Podcast #068 | with DJ WONDER (Sonitum Records),3 years ago,287,43,"3,484",37
Exclusive Podcast #067 | with TIMO LISSY,3 years ago,248,23,"4,029",15
Exclusive Podcast #066 | with RUTHS0N (Trancemitter  Events),3 years ago,136,14,"2,018",5
,,,,,
Exclusive Podcast #065 | with AKIRO (Rules of Nature Records),3 years ago,305,45,"3,570",13
Exclusive Podcast #064 | with MERRY:) (Gaggalacka),3 years ago,351,50,"4,185",20
Exclusive Podcast #063 | with HITODAMA (Root Sector Records),3 years ago,373,59,"4,407",31
Exclusive Podcast #062 | with DJ L.O.B (Turiya Records),3 years ago,361,43,"4,698",34
,,,,,
Exclusive Podcast #061 | with NINESENSE (Reversible Records),3 years ago,"1,581",150,25.7K,139
Otistic - TheDrunkenWitch 158bpm,4 years ago,214,17,"3,465",9
Beelzebub & Grotesk - CorruptedSpells 158bpm,4 years ago,131,13,"2,214",6
Psique & Lusid - McKennaCall 155bpm,4 years ago,146,9,"2,039",8
,,,,,
Pneumatech - NightBlair(BeforeDarkness) 155bpm,4 years ago,78,10,"1,412",4
Aranya - Ajattara 150bpm,4 years ago,"1,456",73,29.4K,47
Tersius - FruitsOfLife 150bpm,4 years ago,150,11,"2,191",4
LYsergZwerg - NocturnalThoughts 150bpm,4 years ago,68,5,"1,452",2
,,,,,
WindowpaiN - Mystikokinesis 150bpm,4 years ago,298,32,"5,234",17
Tekdiffeye - Quirky Conversion 150 bpm,4 years ago,111,15,"1,834",9
Blocksberg Selecta VA by Dissoziativa,4 years ago,,,,
Musgolino - RhythmsCalling 130 bpm,4 years ago,85,6,"2,320",2
,,,,,
Exclusive Podcast #060 | with DISSOZIATIVA ( Kukiluki/Maleficarum),4 years ago,342,50,"4,845",22
Exclusive Podcast #059 | with THE HORRIDS ( Transubtil Records ),4 years ago,"1,141",134,17.6K,76
Exclusive Podcast #058 | with SLIDE (Forestdelic Records),4 years ago,747,89,"8,520",34
Exclusive Podcast #057 | with TWIGGER ( Psynopticz Records ),4 years ago,461,60,"5,597",21
,,,,,
Exclusive Podcast #056 | with ABSTRACT INFORMATIONS,4 years ago,184,40,"2,157",5
Exclusive Podcast #055 | with DESIRED REACTION (World People Productions),4 years ago,509,67,"6,040",16
Exclusive Podcast #054 | with NOMO ( Hypnotic Space Records ),4 years ago,201,31,"2,872",12
Exclusive Podcast #053 |with RUSTLERFARI (Woo-Dog Recordings),4 years ago,433,71,"4,718",32
,,,,,
Exclusive Podcast #052 | with SG4rY (Sangoma Records),4 years ago,802,99,"8,779",48
Exclusive Podcast #051 | with GLYPH (World People Productions),4 years ago,313,57,"3,223",17
Exclusive Podcast #050 | with ACT ONE ( Bom Shanka Music ),4 years ago,644,112,"7,170",47
Exclusive Podcast #049 | with KOTOCTOK (Brahmasutra Records),4 years ago,368,54,"3,970",22
,,,,,
Exclusive Podcast #048 | with ERITAS (Sangoma Records),4 years ago,"1,501",140,19.4K,72
Exclusive Podcast #047 | with DAKSINAMURTI (Sangoma Records),4 years ago,"3,175",260,47.8K,99
Exclusive Podcast #046 | with PHASENVERSCHIEBUNGEN/LYSERGZWERG (Zenon Records/Banyan Records),4 years ago,186,33,"2,576",8
Exclusive Podcast #045 | with BRAINGINEERS (Bom Shanka Music),4 years ago,945,118,11.4K,75
,,,,,
Exclusive Podcast #044 | with PHOBOS ( Looney Moon Records),4 years ago,"1,164",137,15.7K,61
Exclusive Podcast #043 | with  EERIEGEIST (Squarelab Music),4 years ago,"1,330",139,21.6K,57
Exclusive Podcast #042 | with LOSTMIND (Squarelab Music),4 years ago,394,62,"5,101",50
Exclusive Podcast #041 | with RADIKAL MOODZ (Looney Moon Records),4 years ago,"1,218",144,15.5K,85
,,,,,
Exclusive Podcast #040 | with YABBA DABBA ( Sangoma Records ),4 years ago,"3,027",226,53.4K,112
Exlcusive Podcast #039 | with RUGRATS (Looney Moon Records),4 years ago,969,134,12K,44
Exclusive Podcast #038 | with ALFA DRACONIS(World People Productions),4 years ago,309,59,"3,194",32
Exclusive Podcast #037 | with DRIBBLE (Looney Moon Records ),4 years ago,568,90,"6,061",21
,,,,,
Exclusive Podcast #036 | with DUST (Looney Moon Records),4 years ago,935,105,12.4K,50
Maleficarum Special Sets,4 years ago,,,,
Exclusive Podcast NYE Special | with PARA HALU ( Psylife ),4 years ago,378,55,"4,476",18
Exclusive Podcast #035 | with GROOVEDROP (Ibidelyc Recordings Ltd.),4 years ago,669,77,"8,392",37
,,,,,
Exclusive Podcast #034 | with DJ ALRAK (Squarelab Music),4 years ago,527,64,"7,083",24
Exclusive Podcast #033 | with SKYPIRATE (World People Productions),4 years ago,343,64,"3,438",27
Exclusive Podcast #032 | with PSYNONIMA (Freak Records/Ovni Records),4 years ago,"2,229",135,34.2K,138
Exclusive Podcast #031 |with PSIQUE (Woo-Dog Recordings),4 years ago,746,97,"9,786",36
,,,,,
Exclusive Podcast#030 | with AKIRO (Intergalactic Tribe/Venus Visionary),4 years ago,156,28,"1,617",12
Exclusive Podcast #029 | with MOWGLI (Woo-dog Recordings),4 years ago,"1,431",162,21.3K,88
Exclusive Podcast #028 | with REALITY RIPPER (World People Productions) ),4 years ago,226,45,"1,847",22
Exclusive Podcast #027 | with SIGMA NOLAK (Darkon Records),4 years ago,127,20,"1,170",8
,,,,,
Exclusive Podcast #026 | with JORINE (Glitchy Tonic Records),4 years ago,356,46,"5,583",30
Exclusive Podcast #025 | with SHADOW SHAMAN (Forestdelic Records),4 years ago,"1,147",133,14.2K,50
Exclusive Podcast #024 | with INVISIBLE RALF,4 years ago,108,20,"2,024",4
Exclusive Podcast #023 | with OXY`MORA (Quantum Mantrum Rec/Intergalactic Tribe),4 years ago,282,40,"2,896",21
,,,,,
Exclusive Podcast #022 | with MELANGE (Patronus Records),5 years ago,298,37,"2,730",28
Exclusive Podcast #021 | with PNEUMATECH (Trancemitter Events/AnotherReality),5 years ago,152,28,"1,587",13
Exclusive Podcast #020 | with PANTOMIMAN (Looney Moon Records),5 years ago,"2,322",175,35.2K,111
Exclusive Podcast #019 | with SPACE WIZARD (Ibidelyc Recordings Ltd),5 years ago,306,40,"3,799",34
,,,,,
Exclusive Podcast #018 | with TERRAHERTZ,5 years ago,238,42,"2,497",16
Exclusive Podcast #017 | with KETARIUS (Hekwapi Records),5 years ago,220,26,"2,500",11
Exclusive Podcast #016 | with ALIEN INSTINCT ( Hekwapi Records),5 years ago,210,40,"1,953",21
Exclusive Podcast #015 | with GROOVE HUNTER (World People Productions),5 years ago,367,57,"3,638",6
,,,,,
Exclusive Podcast #014| with INTERLOPER (Patronus Records),5 years ago,228,47,"2,317",14
Exclusive Podcast #013 | with KOVIK (Square Lab Music),5 years ago,242,42,"2,779",14
Exclusive Podcast #012 | with HOTZENPLOTZ (Root Sector Records),5 years ago,240,47,"2,648",10
Exclusive Podcast #011 | with SYNTHETIK CHAOS (Bom Shanka Music),5 years ago,849,110,10.5K,67
,,,,,
Exclusive Podcast #010 | with KHOMATICA (Spontaneous Aerobics),5 years ago,177,32,"2,017",10
Exclusive Podcast #009 | with OWNTRIP (Dropland Recordings),5 years ago,203,31,"2,607",6
Exclusive Podcast #008 | with DEZZERT (Squarelab Music),5 years ago,463,71,"5,550",36
Exclusive Podcast #007 | with WOOD WARDEN (World People Productions),5 years ago,476,57,"5,501",14
,,,,,
Exclusive Podcast #006 | with TERRAπ (Root Sector Records),5 years ago,331,36,"3,802",14
Exclusive Podcast #005 | with SKYPIRATE (World People Productions),5 years ago,213,26,"2,610",11
Exclusive Podcast #004 I with BRAIN MODULATION (Maleficarum),5 years ago,476,69,"5,475",15
Exclusive Podcast #003 | with JUMPSTREET (Looney Moon Records),5 years ago,"1,658",148,23.1K,76
,,,,,
Exclusive Podcast #002 | with HASHASHIN (World People Productions),5 years ago,718,95,"9,237",29
Exclusive Podcast #001 | with RENDER (Reversible Records),5 years ago,"1,022",119,14.9K,54
Jhon Darkovich Set Own Spirit Festival 17,8 years ago,97,10,"1,444",2
